Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Florida Panthers*,82,58,18,6,122,0.744,340,246,1.07,-0.08,0.713,42,42-18-22,0.646
Toronto Maple Leafs*,82,54,21,7,115,0.701,315,253,0.69,-0.06,0.646,45,45-21-16,0.646
Tampa Bay Lightning*,82,51,23,8,110,0.671,287,233,0.64,-0.02,0.64,39,39-23-20,0.598
Boston Bruins*,82,51,26,5,107,0.652,255,220,0.38,-0.05,0.622,40,40-26-16,0.585
Buffalo Sabres,82,32,39,11,75,0.457,232,290,-0.69,0.02,0.39,25,25-39-18,0.415
Detroit Red Wings,82,32,40,10,74,0.451,230,312,-0.95,0.06,0.384,21,21-40-21,0.384
Ottawa Senators,82,33,42,7,73,0.445,227,266,-0.44,0.03,0.396,26,26-42-14,0.402
Montreal Canadiens,82,22,49,11,55,0.335,221,319,-1.15,0.05,0.262,16,16-49-17,0.299
Carolina Hurricanes*,82,54,20,8,116,0.707,278,202,0.88,-0.05,0.665,47,47-20-15,0.665
New York Rangers*,82,52,24,6,110,0.671,254,207,0.54,-0.03,0.628,44,44-24-14,0.622
Pittsburgh Penguins*,82,46,25,11,103,0.628,272,229,0.49,-0.04,0.585,37,37-25-20,0.573
Washington Capitals*,82,44,26,12,100,0.61,275,245,0.35,-0.02,0.524,35,35-26-21,0.555
New York Islanders,82,37,35,10,84,0.512,231,237,-0.09,-0.02,0.476,34,34-35-13,0.494
Columbus Blue Jackets,82,37,38,7,81,0.494,262,300,-0.44,0.02,0.445,26,26-38-18,0.427
New Jersey Devils,82,27,46,9,63,0.384,248,307,-0.68,0.04,0.341,19,19-46-17,0.335
Philadelphia Flyers,82,25,46,11,61,0.372,211,298,-1,0.06,0.323,20,20-46-16,0.341
Colorado Avalanche*,82,56,19,7,119,0.726,312,234,0.91,-0.04,0.671,46,46-19-17,0.665
Minnesota Wild*,82,53,22,7,113,0.689,310,253,0.68,-0.02,0.64,37,37-22-23,0.591
St. Louis Blues*,82,49,22,11,109,0.665,311,242,0.79,-0.05,0.604,43,43-22-17,0.628
Dallas Stars*,82,46,30,6,98,0.598,238,246,-0.09,0.01,0.543,31,31-30-21,0.506
Nashville Predators*,82,45,30,7,97,0.591,266,252,0.19,0.02,0.537,35,35-30-17,0.53
Winnipeg Jets,82,39,32,11,89,0.543,252,257,-0.04,0.02,0.488,32,32-32-18,0.5
Chicago Blackhawks,82,28,42,12,68,0.415,219,291,-0.83,0.05,0.317,16,16-42-24,0.341
Arizona Coyotes,82,25,50,7,57,0.348,207,313,-1.23,0.06,0.323,18,18-50-14,0.305
Calgary Flames*,82,50,21,11,111,0.677,293,208,0.99,-0.05,0.61,44,44-21-17,0.64
Edmonton Oilers*,82,49,27,6,104,0.634,290,252,0.46,0,0.573,38,38-27-17,0.567
Los Angeles Kings*,82,44,27,11,99,0.604,239,236,0.03,-0.01,0.537,35,35-27-20,0.549
Vegas Golden Knights,82,43,31,8,94,0.573,266,248,0.21,-0.01,0.524,34,34-31-17,0.518
Vancouver Canucks,82,40,30,12,92,0.561,249,236,0.16,0,0.5,32,32-30-20,0.512
San Jose Sharks,82,32,37,13,77,0.47,214,264,-0.58,0.03,0.39,22,22-37-23,0.409
Anaheim Ducks,82,31,37,14,76,0.463,232,271,-0.45,0.03,0.384,22,22-37-23,0.409
Seattle Kraken,82,27,49,6,60,0.366,216,285,-0.8,0.04,0.317,23,23-49-10,0.341
