Team,W,L,W/L%,GB
Minnesota Lynx*,27,7,0.794,—
Los Angeles Sparks*,26,8,0.765,1
New York Liberty*,22,12,0.647,5
Connecticut Sun*,21,13,0.618,6
Phoenix Mercury*,18,16,0.529,9
Washington Mystics*,18,16,0.529,9
Dallas Wings*,16,18,0.471,11
Seattle Storm*,15,19,0.441,12
Chicago Sky,12,22,0.353,15
Atlanta Dream,12,22,0.353,15
Indiana Fever,9,25,0.265,18
San Antonio Stars,8,26,0.235,19
