Team,W,L,W/L%,GB
Seattle Storm*,26,8,0.765,—
Atlanta Dream*,23,11,0.676,3
Washington Mystics*,22,12,0.647,4
Connecticut Sun*,21,13,0.618,5
Phoenix Mercury*,20,14,0.588,6
Los Angeles Sparks*,19,15,0.559,7
Minnesota Lynx*,18,16,0.529,8
Dallas Wings*,15,19,0.441,11
Las Vegas Aces,14,20,0.412,12
Chicago Sky,13,21,0.382,13
New York Liberty,7,27,0.206,19
Indiana Fever,6,28,0.176,20
