Team,W,L,W/L%,GB
Washington Mystics*,26,8,0.765,—
Connecticut Sun*,23,11,0.676,3
Los Angeles Sparks*,22,12,0.647,4
Las Vegas Aces*,21,13,0.618,5
Chicago Sky*,20,14,0.588,6
Seattle Storm*,18,16,0.529,8
Minnesota Lynx*,18,16,0.529,8
Phoenix Mercury*,15,19,0.441,11
Indiana Fever,13,21,0.382,13
Dallas Wings,10,24,0.294,16
New York Liberty,10,24,0.294,16
Atlanta Dream,8,26,0.235,18
