Team,W,L,W/L%,GB
Connecticut Sun*,26,6,0.813,—
Las Vegas Aces*,24,8,0.75,2
Minnesota Lynx*,22,10,0.688,4
Seattle Storm*,21,11,0.656,5
Phoenix Mercury*,19,13,0.594,7
Chicago Sky*,16,16,0.5,10
Dallas Wings*,14,18,0.438,12
New York Liberty*,12,20,0.375,14
Washington Mystics,12,20,0.375,14
Los Angeles Sparks,12,20,0.375,14
Atlanta Dream,8,24,0.25,18
Indiana Fever,6,26,0.188,20
