RANK,TEAM,WIN%,ROSTER,26-MAN PAYROLL,INJURED RESERVE,RETAINED,BURIED,SUSPENDED,TOTAL PAYROL
1,Los Angeles Dodgers,0.654,28,"$174,661,542","$38,501,103","$6,150,521","$24,070,000",-,"$266,020,809"
2,New York Yankees,0.568,30,"$141,518,753","$48,217,362","$12,129,712","$13,040,875",-,"$205,669,863"
3,New York Mets,0.475,29,"$176,565,754","$11,933,570","$9,524,946","$12,006,000",-,"$201,189,189"
4,Philadelphia Phillies,0.506,27,"$147,764,046","$19,936,225","$13,803,916","$10,533,500",-,"$197,263,223"
5,Houston Astros,0.586,28,"$146,877,726","$39,870,546","$4,134,205","$7,547,600",-,"$194,222,042"
6,Boston Red Sox,0.568,28,"$141,452,731","$2,832,729","$41,374,493","$10,227,500",-,"$187,100,784"
7,Los Angeles Angels,0.475,28,"$30,467,086","$100,777,679","$46,663,119","$8,254,500",-,"$180,349,558"
8,San Diego Padres,0.488,28,"$125,977,584","$49,745,500","$2,546,516","$6,926,300",-,"$179,764,272"
9,San Francisco Giants,0.66,28,"$134,386,796","$19,766,740","$12,958,219","$16,549,200",-,"$171,890,308"
10,Atlanta Braves,0.547,30,"$115,354,620","$3,301,950","$17,732,404","$8,925,000",-,"$152,750,691"
11,St. Louis Cardinals,0.556,28,"$116,018,560","$14,512,682","$19,759,129","$5,171,100",-,"$151,469,994"
12,Toronto Blue Jays,0.562,28,"$108,402,749","$8,853,529","$28,315,121","$9,968,100",-,"$150,140,253"
13,Washington Nationals,0.401,28,"$50,076,145","$34,877,122","$57,061,332","$6,925,200",-,"$144,415,187"
14,Chicago Cubs,0.438,27,"$33,340,389","$38,534,396","$71,494,409","$1,717,500",-,"$144,037,170"
15,Chicago White Sox,0.574,28,"$125,829,369","$3,193,240","$10,099,143","$5,997,000",-,"$140,926,169"
16,Cincinnati Reds,0.512,28,"$85,325,437","$35,531,500","$4,226,409","$5,156,000",-,"$126,587,447"
17,Minnesota Twins,0.451,28,"$83,609,495","$13,198,044","$19,934,219","$9,234,500",-,"$120,084,606"
18,Colorado Rockies,0.46,28,"$79,895,422","$5,931,272","$19,571,956","$7,398,500",-,"$116,408,966"
19,Milwaukee Brewers,0.586,28,"$79,937,621","$3,109,474","$10,266,654","$12,221,766",-,"$99,377,415"
20,Texas Rangers,0.37,28,"$24,843,032","$7,899,375","$58,916,700","$9,453,000",-,"$95,788,819"
21,Arizona Diamondbacks,0.321,29,"$54,229,878","$8,694,478","$25,868,212","$8,056,000",-,"$91,632,929"
22,Kansas City Royals,0.457,28,"$52,514,932","$15,758,956","$21,740,784","$5,147,900",-,"$91,595,545"
23,Oakland Athletics,0.531,28,"$51,210,210","$34,397,095","$2,500,111","$4,158,000","$580,500","$90,400,598"
24,Detroit Tigers,0.475,28,"$61,408,153","$13,503,703","$8,352,752","$4,374,100",-,"$86,348,945"
25,Seattle Mariners,0.556,27,"$57,010,274","$16,037,933","$8,004,079","$8,276,000","$570,500","$83,822,113"
26,Tampa Bay Rays,0.617,28,"$44,288,651","$18,352,159","$6,218,025","$7,136,100",-,"$70,836,327"
27,Miami Marlins,0.414,28,"$16,304,223","$15,489,077","$23,940,904","$9,320,500",-,"$58,157,900"
28,Pittsburgh Pirates,0.377,29,"$17,797,841","$7,847,255","$19,989,602","$6,143,500","$7,750,000","$54,356,609"
29,Cleveland Indians,0.494,28,"$35,682,311","$1,367,760","$11,873,544","$5,174,000",-,"$50,670,534"
30,Baltimore Orioles,0.321,28,"$13,838,690","$7,682,535","$19,045,619","$5,737,200",-,"$42,421,870"
