Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Milwaukee Bucks* (1),58,24,0.707,—,116.9,113.3,3.61
Boston Celtics* (2),57,25,0.695,1,117.9,111.4,6.38
Philadelphia 76ers* (3),54,28,0.659,4,115.2,110.9,4.37
Cleveland Cavaliers* (4),51,31,0.622,7,112.3,106.9,5.23
New York Knicks* (5),47,35,0.573,11,116,113.1,2.99
Brooklyn Nets* (6),45,37,0.549,13,113.4,112.5,1.03
Miami Heat* (7),44,38,0.537,14,109.5,109.8,-0.13
Atlanta Hawks* (8),41,41,0.5,17,118.4,118.1,0.32
Toronto Raptors* (9),41,41,0.5,17,112.9,111.4,1.59
Chicago Bulls* (10),40,42,0.488,18,113.1,111.8,1.37
Indiana Pacers (11),35,47,0.427,23,116.3,119.5,-2.91
Washington Wizards (12),35,47,0.427,23,113.2,114.4,-1.06
Orlando Magic (13),34,48,0.415,24,111.4,114,-2.39
Charlotte Hornets (14),27,55,0.329,31,111,117.2,-5.89
Detroit Pistons (15),17,65,0.207,41,110.3,118.5,-7.73
Denver Nuggets* (1),53,29,0.646,—,115.8,112.5,3.04
Memphis Grizzlies* (2),51,31,0.622,2,116.9,113,3.6
Sacramento Kings* (3),48,34,0.585,5,120.7,118.1,2.3
Phoenix Suns* (4),45,37,0.549,8,113.6,111.6,2.08
Los Angeles Clippers* (5),44,38,0.537,9,113.6,113.1,0.31
Golden State Warriors* (6),44,38,0.537,9,118.9,117.1,1.66
Los Angeles Lakers* (7),43,39,0.524,10,117.2,116.6,0.43
Minnesota Timberwolves* (8),42,40,0.512,11,115.8,115.8,-0.22
New Orleans Pelicans* (9),42,40,0.512,11,114.4,112.5,1.63
Oklahoma City Thunder* (10),40,42,0.488,13,117.5,116.4,0.96
Dallas Mavericks (11),38,44,0.463,15,114.2,114.1,-0.14
Utah Jazz (12),37,45,0.451,16,117.1,118,-1.03
Portland Trail Blazers (13),33,49,0.402,20,113.4,117.4,-3.96
Houston Rockets (14),22,60,0.268,31,110.7,118.6,-7.62
San Antonio Spurs (15),22,60,0.268,31,113,123.1,-9.82
