Team,W,L,W/L%,GB,PS/G,PA/G,SRS
hiladelphia 76ers*,49,23,0.681,—,113.6,108.1,5.28
Brooklyn Nets*,48,24,0.667,1,118.6,114.1,4.24
Milwaukee Bucks*,46,26,0.639,3,120.1,114.2,5.57
New York Knicks*,41,31,0.569,8,107,104.7,2.13
Atlanta Hawks*,41,31,0.569,8,113.7,111.4,2.14
Miami Heat*,40,32,0.556,9,108.1,108,-0.06
Boston Celtics*,36,36,0.5,13,112.6,111.2,1.32
Washington Wizards*,34,38,0.472,15,116.6,118.5,-1.85
Indiana Pacers,34,38,0.472,15,115.3,115.3,-0.13
Charlotte Hornets,33,39,0.458,16,109.5,111.4,-1.94
Chicago Bulls,31,41,0.431,18,110.7,111.6,-0.94
Toronto Raptors,27,45,0.375,22,111.3,111.7,-0.54
Cleveland Cavaliers,22,50,0.306,27,103.8,112.3,-8.19
Orlando Magic,21,51,0.292,28,104,113.3,-9.02
Detroit Pistons,20,52,0.278,29,106.6,111.1,-4.38
Utah Jazz*,52,20,0.722,—,116.4,107.2,8.97
Phoenix Suns*,51,21,0.708,1,115.3,109.5,5.67
Denver Nuggets*,47,25,0.653,5,115.1,110.1,4.82
Los Angeles Clippers*,47,25,0.653,5,114,107.8,6.02
Dallas Mavericks*,42,30,0.583,10,112.4,110.2,2.26
Portland Trail Blazers*,42,30,0.583,10,116.1,114.3,1.81
Los Angeles Lakers*,42,30,0.583,10,109.5,106.8,2.77
Golden State Warriors,39,33,0.542,13,113.7,112.7,1.1
Memphis Grizzlies*,38,34,0.528,14,113.3,112.3,1.07
San Antonio Spurs,33,39,0.458,19,111.1,112.8,-1.58
New Orleans Pelicans,31,41,0.431,21,114.6,114.9,-0.2
Sacramento Kings,31,41,0.431,21,113.7,117.4,-3.45
Minnesota Timberwolves,23,49,0.319,29,112.1,117.7,-5.25
Oklahoma City Thunder,22,50,0.306,30,105,115.6,-10.13
Houston Rockets,17,55,0.236,35,108.8,116.7,-7.5
