Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Toronto FC,34,20,9,5,74,37,37,69,2.03,"27,647",Sebastian Giovinco - 16,Alex Bono,→ Conference Semifinals
2,NYCFC,34,16,9,9,56,43,13,57,1.68,"22,321",David Villa - 22,Sean Johnson,→ Conference Semifinals
3,Chicago Fire,34,16,7,11,61,47,14,55,1.62,"17,383",Nemanja Nikolić - 24,Matt Lampson,→ Knockout round
4,Atlanta Utd,34,15,10,9,70,40,30,55,1.62,"48,200",Josef Martínez - 19,Alec Kann,→ Knockout round
5,Columbus Crew,34,16,6,12,53,49,4,54,1.59,"15,439",Ola Kamara - 18,Zack Steffen,→ Knockout round
6,NY Red Bulls,34,14,8,12,53,47,6,50,1.47,"21,175",Bradley Wright-Phillips - 17,Luis Robles,→ Knockout round
7,New England,34,13,6,15,53,61,-8,45,1.32,"19,367",Kei Kamara - 12,Cody Cropper,
8,Philadelphia,34,11,9,14,50,47,3,42,1.24,"16,812",C.J. Sapong - 16,Andre Blake,
9,Montreal Impact,34,11,6,17,52,58,-6,39,1.15,"20,046",Ignacio Piatti - 17,Evan Bush,
10,Orlando City,34,10,9,15,39,58,-19,39,1.15,"25,028",Cyle Larin - 12,Joe Bendik,
11,D.C. United,34,9,5,20,31,60,-29,32,0.94,"17,904","Luciano Acosta, Patrick Mullins - 5",Bill Hamid,
1,Portland Timbers,34,15,8,11,60,50,10,53,1.56,"21,144",Diego Valeri - 21,Jake Gleeson,→ Conference Semifinals
2,Seattle,34,14,11,9,52,39,13,53,1.56,"43,666",Clint Dempsey - 12,Stefan Frei,→ Conference Semifinals
3,Vancouver,34,15,7,12,50,49,1,52,1.53,"21,416",Fredy Montero - 13,David Ousted,→ Knockout round
4,Dynamo,34,13,11,10,57,45,12,50,1.47,"17,500",Erick Torres - 14,Tyler Deric,→ Knockout round
5,Sporting KC,34,12,13,9,40,29,11,49,1.44,"19,537",Gerso Fernandes - 8,Tim Melia,→ Knockout round
6,San Jose,34,13,7,14,39,60,-21,46,1.35,"19,875",Chris Wondolowski - 13,David Bingham,→ Knockout round
7,FC Dallas,34,11,13,10,48,48,0,46,1.35,"15,122",Maximiliano Urruti - 12,Jesse Gonzalez,
8,Real Salt Lake,34,13,6,15,49,55,-6,45,1.32,"18,781","Albert Rusnák, Joao Plata... - 7",Nick Rimando,
9,Minnesota Utd,34,10,6,18,47,70,-23,36,1.06,"20,538",Christian Ramirez - 14,Bobby Shuttleworth,
10,Colorado Rapids,34,9,6,19,31,51,-20,33,0.97,"15,322",Dominique Badji - 9,Tim Howard,
11,LA Galaxy,34,8,8,18,45,67,-22,32,0.94,"22,243",Romain Alessandrini - 13,Clément Diop,
