Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,NY Red Bulls,34,18,6,10,62,43,19,60,1.76,"19,657",Bradley Wright-Phillips - 17,Luis Robles,→ Conference Semifinals
2,Columbus Crew,34,15,8,11,58,53,5,53,1.56,"16,985",Kei Kamara - 22,Steve Clark,→ Conference Semifinals
3,Montreal Impact,34,15,6,13,48,44,4,51,1.5,"17,750",Didier Drogba - 11,Evan Bush,→ Knockout round
4,D.C. United,34,15,6,13,43,45,-2,51,1.5,"16,244",Chris Rolfe - 10,Bill Hamid,→ Knockout round
5,New England,34,14,8,12,48,47,1,50,1.47,"19,627",Charlie Davies - 10,Bobby Shuttleworth,→ Knockout round
6,Toronto FC,34,15,4,15,58,58,0,49,1.44,"23,451",Sebastian Giovinco - 22,Chris Konopka,→ Knockout round
7,Orlando City,34,12,8,14,46,56,-10,44,1.29,"32,847",Cyle Larin - 17,Tally Hall,
8,NYCFC,34,10,7,17,49,58,-9,37,1.09,"29,016",David Villa - 18,Josh Saunders,
9,Philadelphia,34,10,7,17,42,55,-13,37,1.09,"17,451",C.J. Sapong - 9,Brian Sylvestre,
10,Chicago Fire,34,8,6,20,43,58,-15,30,0.88,"16,003",David Accam - 10,Sean Johnson,
1,FC Dallas,34,18,6,10,52,39,13,60,1.76,"16,013",Fabián Castillo - 9,Dan Kennedy,→ Conference Semifinals
2,Vancouver,34,16,5,13,45,36,9,53,1.56,"20,507",Octavio Rivero - 10,David Ousted,→ Conference Semifinals
3,Portland Timbers,34,15,8,11,41,39,2,53,1.56,"21,144",Fanendo Adi - 16,Adam Larsen Kwarasey,→ Knockout round
4,Seattle,34,15,6,13,44,36,8,51,1.5,"44,247",Obafemi Martins - 15,Stefan Frei,→ Knockout round
5,LA Galaxy,34,14,9,11,56,46,10,51,1.5,"23,392",Robbie Keane - 20,Jaime Penedo,→ Knockout round
6,Sporting KC,34,14,9,11,48,45,3,51,1.5,"19,687",Dom Dwyer - 12,Tim Melia,→ Knockout round
7,San Jose,34,13,8,13,41,39,2,47,1.38,"20,979",Chris Wondolowski - 16,David Bingham,
8,Dynamo,34,11,9,14,42,49,-7,42,1.24,"20,658",Will Bruin - 11,Tyler Deric,
9,Real Salt Lake,34,11,8,15,38,48,-10,41,1.21,"20,160",Javier Morales - 8,Nick Rimando,
10,Colorado Rapids,34,9,10,15,33,43,-10,37,1.09,"15,657",Kevin Doyle - 5,Clint Irwin,
